Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Year of birth of youngest child,Number of children,Ethnicity,Driving licence,Fluent languages,Highest education level completed,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66760674f1116e55d7745e39,66242db5d87aaea34f182dd9,AWAITING REVIEW,Not Applicable,2024-06-21T23:02:42.741000Z,2024-06-21T23:11:53.940000Z,,2024-06-21T23:11:54.500032Z,552,CHL7WI6D,31,2023,1,White/Caucasian,Yes,English,Doctorate degree (PhD/other),Man (including Trans Male/Trans Man),51,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66760758d9b66ef2fb8aa296,663113e30b1418464d9f74c2,AWAITING REVIEW,Not Applicable,2024-06-21T23:06:07.483000Z,2024-06-21T23:16:10.715000Z,,2024-06-21T23:17:30.009754Z,604,CHL7WI6D,50,2020,1,South East Asian,Yes,English,Technical/community college,Man (including Trans Male/Trans Man),35,Male,Asian,United States,United States,United States,English,No,Full-Time
6676080bae93c6baec234013,612053690485b0b2420a03fd,AWAITING REVIEW,Not Applicable,2024-06-21T23:09:03.796000Z,2024-06-21T23:20:07.834000Z,,2024-06-21T23:20:08.258657Z,665,CHL7WI6D,2755,2009,2,White/Caucasian,Yes,English,Secondary education (e.g. GED/GCSE),Woman (including Trans Female/Trans Woman),45,Female,White,United States,United States,United States,English,No,Part-Time
6676089bae93c6baec234026,6647681650f3e8ab0e3bb74f,AWAITING REVIEW,Not Applicable,2024-06-21T23:11:28.243000Z,2024-06-21T23:19:51.415000Z,,2024-06-21T23:19:51.846286Z,504,CHL7WI6D,25,2019,2,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),28,Female,White,United States,United States,United States,English,No,Full-Time
667608d5708546e39a3dded3,657db67fd0ee3e8c7342af47,AWAITING REVIEW,Not Applicable,2024-06-21T23:12:32.156000Z,2024-06-21T23:40:37.592000Z,,2024-06-21T23:41:26.735381Z,1686,CHL7WI6D,90,2018,1,Black/African American,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),31,Female,Black,Ghana,United States,United States,English,No,Full-Time
66760b43e65200ce97959be5,66339d43a8ec6478777569a5,AWAITING REVIEW,Not Applicable,2024-06-21T23:22:59.874000Z,2024-06-21T23:33:54.894000Z,,2024-06-21T23:35:49.375922Z,656,CHL7WI6D,41,2023,4,Mixed,Yes,"English, Spanish",Technical/community college,Woman (including Trans Female/Trans Woman),38,Female,Black,United States,United States,United States,English,Yes,Part-Time
66760b56315810ac8cef19ee,644037ea4990f0f1b7cdf2df,AWAITING REVIEW,Not Applicable,2024-06-21T23:23:09.103000Z,2024-06-21T23:34:15.622000Z,,2024-06-21T23:35:50.359798Z,667,CHL7WI6D,327,2010,3,White/Caucasian,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),38,Female,White,United States,United States,United States,English,No,Full-Time
66760db63a5d06332571968e,61088c529cff73b187d19e6d,AWAITING REVIEW,Not Applicable,2024-06-21T23:33:15.597000Z,2024-06-21T23:46:25.254000Z,,2024-06-21T23:46:25.852872Z,790,CHL7WI6D,7068,2018,2,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),42,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66760eacbeeb415d60578b9d,6599eb0d4eac53c96010fb76,AWAITING REVIEW,Not Applicable,2024-06-21T23:37:22.754000Z,2024-06-21T23:44:13.589000Z,,2024-06-21T23:44:14.494156Z,411,CHL7WI6D,347,2023,2,White/Caucasian,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),37,Female,White,United States,United States,United States,English,No,Other
66760f2def6f2c01681b6436,636150c1c5a922d6451c675c,AWAITING REVIEW,Not Applicable,2024-06-21T23:39:31.157000Z,2024-06-21T23:50:52.380000Z,,2024-06-21T23:52:46.864370Z,682,CHL7WI6D,2054,2011,2,White/Caucasian,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),40,Female,White,United States,United States,United States,English,No,Full-Time
66760f550a062036fb381c91,66709b595f6ddbb88414c646,AWAITING REVIEW,Not Applicable,2024-06-21T23:40:13.874000Z,2024-06-21T23:44:47.293000Z,,2024-06-21T23:44:50.841435Z,274,CHL7WI6D,7,2021,2,White/Caucasian,Yes,"English, Spanish",Graduate degree (MA/MSc/MPhil/other),Woman (including Trans Female/Trans Woman),40,Female,White,United States,United States,United States,English,No,Full-Time
66760fa90eebdca4e039fba5,632521c2ce3c068c0626e7b0,AWAITING REVIEW,Not Applicable,2024-06-21T23:41:33.349000Z,2024-06-21T23:54:32.015000Z,,2024-06-21T23:54:32.821184Z,779,CHL7WI6D,377,2021,1,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Man (including Trans Male/Trans Man),23,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66761052c8303418125b5eb9,5df3f2c558a5c72d724a22ef,AWAITING REVIEW,Not Applicable,2024-06-21T23:44:26.757000Z,2024-06-22T00:02:40.927000Z,,2024-06-22T00:04:41.401133Z,1095,CHL7WI6D,1065,2020,2,White/Caucasian,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),66,Female,White,United States,United States,United States,English,No,Full-Time
66761162708546e39a3de073,665210a6abe49e6139fabbe7,AWAITING REVIEW,Not Applicable,2024-06-21T23:49:06.978000Z,2024-06-21T23:57:55.547000Z,,2024-06-21T23:57:55.937848Z,529,CHL7WI6D,62,2020,2,White/Caucasian,Yes,English,Secondary education (e.g. GED/GCSE),Woman (including Trans Female/Trans Woman),34,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6676116c9bdb0d1ad3268140,65989513640b25ce09300abc,AWAITING REVIEW,Not Applicable,2024-06-21T23:49:04.680000Z,2024-06-21T23:57:20.244000Z,,2024-06-21T23:57:20.844725Z,496,CHL7WI6D,1387,2017,2,Mixed,Yes,"English, Russian",Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),32,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
6676117bcdb48c030dfea90d,5d9b866189c03c001540eff1,AWAITING REVIEW,Not Applicable,2024-06-21T23:49:18.291000Z,2024-06-21T23:55:16.713000Z,,2024-06-21T23:55:17.236169Z,359,CHL7WI6D,1314,2014,1,White/Caucasian,Yes,English,Technical/community college,Woman (including Trans Female/Trans Woman),34,Female,White,United States,United States,United States,English,Yes,Part-Time
6676123194a77038a8c563c9,663a7c7806b8fc0fe1646578,AWAITING REVIEW,Not Applicable,2024-06-21T23:52:27.816000Z,2024-06-22T00:00:48.074000Z,,2024-06-22T00:00:53.056608Z,501,CHL7WI6D,222,2011,2,White/Caucasian,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),44,Female,White,United States,United States,United States,English,No,Part-Time
667612b6a26edf5e4954ba62,65c298bf5253915b97025e07,AWAITING REVIEW,Not Applicable,2024-06-21T23:54:37.426000Z,2024-06-22T00:05:59.861000Z,,2024-06-22T00:06:00.381707Z,683,CHL7WI6D,62,2008,1,Black/African American,Yes,English,Technical/community college,Woman (including Trans Female/Trans Woman),42,Female,Black,United States,United States,United States,English,No,Full-Time
667612bf002c8884a6fed525,6521bb42d7515a18540a827a,AWAITING REVIEW,Not Applicable,2024-06-21T23:54:46.520000Z,2024-06-22T00:01:34.278000Z,,2024-06-22T00:03:06.371817Z,408,CHL7WI6D,128,2018,1,White/Caucasian,Yes,English,Graduate degree (MA/MSc/MPhil/other),Woman (including Trans Female/Trans Woman),37,Female,White,United States,United States,United States,English,No,Part-Time
667612ee0db45fc69f135070,66378d0e56770a8e50d8fc03,AWAITING REVIEW,Not Applicable,2024-06-21T23:55:30.496000Z,2024-06-22T00:10:54.308000Z,,2024-06-22T00:10:55.012654Z,924,CHL7WI6D,159,2021,1,White/Caucasian,Yes,English,High school diploma/A-levels,Man (including Trans Male/Trans Man),27,Male,White,United States,United States,United States,English,No,Full-Time
66761323d32a7faeffedf21a,6507910a65e6208a9bc07908,AWAITING REVIEW,Not Applicable,2024-06-21T23:56:25.712000Z,2024-06-22T00:08:15.765000Z,,2024-06-22T00:08:16.291757Z,711,CHL7WI6D,1578,2021,1,White/Caucasian,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),36,Female,White,United States,United States,United States,English,Yes,Full-Time
66761350b664f4c5d53de406,663b86f40209b16b32f58085,AWAITING REVIEW,Not Applicable,2024-06-21T23:58:15.648000Z,2024-06-22T00:31:17.592000Z,,2024-06-22T00:32:14.765050Z,1982,CHL7WI6D,207,2007,2,Black/African American,Yes,English,Undergraduate degree (BA/BSc/other),Man (including Trans Male/Trans Man),50,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
667613e7f8b8eae32a3563be,6657584ca6e3645f4a99e753,AWAITING REVIEW,Not Applicable,2024-06-21T23:59:41.484000Z,2024-06-22T00:12:36.809000Z,,2024-06-22T00:12:54.462788Z,776,CHL7WI6D,3,2019,1,Latino/Hispanic,Yes,English,Technical/community college,Man (including Trans Male/Trans Man),31,Male,Other,United States,United States,United States,English,Yes,Full-Time
6676141c47a5427aa8479d09,65b02ad9c7085c1e8c1524d0,AWAITING REVIEW,Not Applicable,2024-06-22T00:00:34.305000Z,2024-06-22T00:12:54.958000Z,,2024-06-22T00:13:08.719806Z,741,CHL7WI6D,204,2021,3,Latino/Hispanic,Yes,"English, Spanish",High school diploma/A-levels,Woman (including Trans Female/Trans Woman),28,Female,Mixed,United States,United States,United States,English,Yes,DATA_EXPIRED
667614221bfaef6288866400,5d1bcecd1b8b60001915bd81,AWAITING REVIEW,Not Applicable,2024-06-22T00:00:40.854000Z,2024-06-22T00:08:10.866000Z,,2024-06-22T00:08:11.447506Z,451,NOCODE,819,2018,1,White/Caucasian,Yes,"English, Russian",Graduate degree (MA/MSc/MPhil/other),Man (including Trans Male/Trans Man),33,Male,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667614b94bba5aae56a7cb6d,62fbb36e4eb67a9e4bd73561,AWAITING REVIEW,Not Applicable,2024-06-22T00:03:10.519000Z,2024-06-22T00:09:57.626000Z,,2024-06-22T00:09:58.061499Z,408,CHL7WI6D,2089,2019,3,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),33,Female,White,United States,United States,United States,English,Yes,Part-Time
667614ba10f83d835cc572fe,5b2098b04c72120001f259c9,AWAITING REVIEW,Not Applicable,2024-06-22T00:04:06.141000Z,2024-06-22T00:19:35.013000Z,,2024-06-22T00:19:35.572736Z,929,CHL7WI6D,741,2022,1,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Man (including Trans Male/Trans Man),26,Male,White,United States,United States,United States,English,No,Full-Time
6676152f12bd2a2af68bf66f,65d6a41c1e0b776e613d7c33,AWAITING REVIEW,Not Applicable,2024-06-22T00:05:21.905000Z,2024-06-22T00:14:46.853000Z,,2024-06-22T00:14:51.763301Z,565,CHL7WI6D,45,2014,2,White/Caucasian,Yes,"English, Hungarian",Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),44,Female,White,Hungary,United States,United States,English,No,Full-Time
6676155830d6cadc3cf7287c,60a062ed4c4334abbbf32323,AWAITING REVIEW,Not Applicable,2024-06-22T00:06:11.366000Z,2024-06-22T00:13:23.515000Z,,2024-06-22T00:13:31.827162Z,433,CHL7WI6D,392,2023,1,Caribbean,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),27,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
667615bc7bc183e2055b0ee4,6651eb251593afe79894b0c9,AWAITING REVIEW,Not Applicable,2024-06-22T00:07:29.093000Z,2024-06-22T00:18:28.388000Z,,2024-06-22T00:18:28.905199Z,660,CHL7WI6D,87,2024,2,White/Caucasian,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),26,Female,White,United States,United States,United States,English,No,Full-Time
6676162cadcd7979f95b4c94,6644b4d44a6a781d55b02c2b,AWAITING REVIEW,Not Applicable,2024-06-22T00:09:20.254000Z,2024-06-22T00:22:22.866000Z,,2024-06-22T00:22:23.740869Z,783,CHL7WI6D,57,2012,2,Mixed,Yes,English,Undergraduate degree (BA/BSc/other),Man (including Trans Male/Trans Man),57,Male,White,United States,United States,United States,English,No,Full-Time
6676168264fdff6fb254c223,66371533b174144b00be8e58,AWAITING REVIEW,Not Applicable,2024-06-22T00:10:51.275000Z,2024-06-22T00:26:55.234000Z,,2024-06-22T00:26:55.746373Z,964,CHL7WI6D,177,2013,6,White/Caucasian,Yes,English,Technical/community college,Woman (including Trans Female/Trans Woman),44,Female,White,United States,United States,United States,English,No,Part-Time
6676168f894d9cfde4d6c6fc,62f716849a6ee6e7e2f5a948,AWAITING REVIEW,Not Applicable,2024-06-22T00:11:00.066000Z,2024-06-22T00:18:26.388000Z,,2024-06-22T00:18:27.104009Z,447,CHL7WI6D,1952,2022,2,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Man (including Trans Male/Trans Man),35,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
66761690b2387e28dca9d3bf,6646d66dff946ef256719adf,AWAITING REVIEW,Not Applicable,2024-06-22T00:11:00.793000Z,2024-06-22T00:21:17.890000Z,,2024-06-22T00:21:18.531308Z,618,CHL7WI6D,129,2011,3,White/Caucasian,Yes,English,Graduate degree (MA/MSc/MPhil/other),Woman (including Trans Female/Trans Woman),52,Female,White,United States,United States,United States,English,No,Full-Time
6676169b10f83d835cc5737d,666eea9e18c5b35cda774545,AWAITING REVIEW,Not Applicable,2024-06-22T00:11:14.078000Z,2024-06-22T00:19:04.467000Z,,2024-06-22T00:19:04.975207Z,471,CHL7WI6D,7,2014,4,White/Caucasian,Yes,English,Graduate degree (MA/MSc/MPhil/other),Woman (including Trans Female/Trans Woman),41,Female,White,United States,United States,United States,English,No,Full-Time
667616e030eea4b306913915,62989737409d018c733483c1,AWAITING REVIEW,Not Applicable,2024-06-22T00:12:28.198000Z,2024-06-22T00:37:44.119000Z,,2024-06-22T00:38:02.524580Z,1516,CHL7WI6D,2806,2009,1,Black/African American,Yes,English,Undergraduate degree (BA/BSc/other),Man (including Trans Male/Trans Man),35,Male,Black,United States,United States,United States,English,No,Full-Time
6676173a64fdff6fb254c248,58064eb95dbea00001d72d74,AWAITING REVIEW,Not Applicable,2024-06-22T00:13:50.696000Z,2024-06-22T00:21:49.872000Z,,2024-06-22T00:21:50.596165Z,480,CHL7WI6D,1933,2022,2,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6676178d6bffd81a1e8aa501,5d24e7aec81128001721628f,AWAITING REVIEW,Not Applicable,2024-06-22T00:15:13.596000Z,2024-06-22T00:54:25.139000Z,,2024-06-22T00:54:25.620980Z,2352,CHL7WI6D,4222,2020,1,Latino/Hispanic,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),28,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6676179ce819fe4b373a99d1,653d7db9b6d4d4f0475686ec,AWAITING REVIEW,Not Applicable,2024-06-22T00:15:30.639000Z,2024-06-22T00:25:09.898000Z,,2024-06-22T00:25:10.441898Z,580,CHL7WI6D,94,2012,4,Other (please feel free to let us know your ethnicity via email),Yes,English,Graduate degree (MA/MSc/MPhil/other),Woman (including Trans Female/Trans Woman),46,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
667617a7ee7b1e2aa37a9a79,6643be675817fd2a43298a04,AWAITING REVIEW,Not Applicable,2024-06-22T00:15:41.113000Z,2024-06-22T00:21:11.875000Z,,2024-06-22T00:21:12.361588Z,331,CHL7WI6D,175,2023,1,Mixed,Yes,English,High school diploma/A-levels,Woman (including Trans Female/Trans Woman),28,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667617b14f5db422059a22f3,65e66e135377b85505e87283,AWAITING REVIEW,Not Applicable,2024-06-22T00:15:52.146000Z,2024-06-22T00:23:06.425000Z,,2024-06-22T00:23:07.200756Z,435,CHL7WI6D,246,2012,2,Black/African American,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),32,Female,Black,United States,United States,United States,English,Yes,Unemployed (and job seeking)
66761812cdb48c030dfeaa8d,65d8dd36229a71171be074fd,AWAITING REVIEW,Not Applicable,2024-06-22T00:17:29.482000Z,2024-06-22T00:26:41.424000Z,,2024-06-22T00:26:41.970384Z,552,CHL7WI6D,215,2023,2,White/Caucasian,Yes,English,Graduate degree (MA/MSc/MPhil/other),Man (including Trans Male/Trans Man),38,Male,White,United States,United States,United States,English,No,Full-Time
667618815937d1479ff72540,6566391df297b5d5a039e4e5,AWAITING REVIEW,Not Applicable,2024-06-22T00:19:22.763000Z,2024-06-22T00:26:32.900000Z,,2024-06-22T00:26:33.471594Z,431,CHL7WI6D,439,2013,2,South East Asian,Yes,English,Technical/community college,Woman (including Trans Female/Trans Woman),46,Female,Asian,Philippines,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6676189a98775daa0519bdf8,65b3ed0aeaf68da25cef6e37,AWAITING REVIEW,Not Applicable,2024-06-22T00:19:42.696000Z,2024-06-22T00:26:51.570000Z,,2024-06-22T00:26:52.393996Z,429,CHL7WI6D,1090,2009,3,White/Caucasian,Yes,English,Doctorate degree (PhD/other),Man (including Trans Male/Trans Man),45,Male,White,United States,United States,United States,English,No,Full-Time
667619253de987b4c0f820a7,6504c6655c2ae520567f52ff,AWAITING REVIEW,Not Applicable,2024-06-22T00:22:14.231000Z,2024-06-22T00:33:39.654000Z,,2024-06-22T00:33:40.231513Z,686,CHL7WI6D,1127,2009,4,Black/African American,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),41,Female,Black,United States,United States,United States,English,No,Part-Time
66761954d8f0ea5dca746012,586ee444d22a5800014c54e8,AWAITING REVIEW,Not Applicable,2024-06-22T00:22:48.162000Z,2024-06-22T00:28:54.393000Z,,2024-06-22T00:28:54.884127Z,367,CHL7WI6D,1775,2013,1,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),36,Female,White,United States,United States,United States,English,No,Part-Time
6676196594a77038a8c565a4,66463dbb40eae3c5027d7a55,AWAITING REVIEW,Not Applicable,2024-06-22T00:23:06.540000Z,2024-06-22T00:29:45.529000Z,,2024-06-22T00:31:46.920320Z,399,CHL7WI6D,79,2023,1,Latino/Hispanic,Yes,English,Graduate degree (MA/MSc/MPhil/other),Man (including Trans Male/Trans Man),36,Male,White,United States,United States,United States,English,No,Full-Time
667619703de987b4c0f820c0,661e84844a13d0cbe9465af5,AWAITING REVIEW,Not Applicable,2024-06-22T00:23:17.749000Z,2024-06-22T00:33:35.577000Z,,2024-06-22T00:33:36.015377Z,618,CHL7WI6D,234,2018,2,Latino/Hispanic,Yes,"English, Spanish",Undergraduate degree (BA/BSc/other),Man (including Trans Male/Trans Man),45,Male,White,United States,United States,United States,English,No,Full-Time
66761977143e5d0e88dc67b6,6675933d9121b061030cf755,AWAITING REVIEW,Not Applicable,2024-06-22T00:23:25.973000Z,2024-06-22T00:30:42.241000Z,,2024-06-22T00:32:08.655667Z,437,CHL7WI6D,19,2020,3,White/Caucasian,Yes,English,Doctorate degree (PhD/other),Woman (including Trans Female/Trans Woman),38,Female,White,United States,United States,United States,English,No,Full-Time
66761a23a6a872ba7b187e91,6549c057c03dd7b7b3166a9d,AWAITING REVIEW,Not Applicable,2024-06-22T00:26:15.558000Z,2024-06-22T00:32:38.929000Z,,2024-06-22T00:33:11.022844Z,384,CHL7WI6D,653,2017,2,White/Caucasian,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66761a3664fdff6fb254c2d4,665cb1a03ae3751ff8fbe602,AWAITING REVIEW,Not Applicable,2024-06-22T00:26:37.175000Z,2024-06-22T00:34:03.803000Z,,2024-06-22T00:34:04.277765Z,447,CHL7WI6D,28,2020,2,East Asian,Yes,"Chinese, English",Graduate degree (MA/MSc/MPhil/other),Man (including Trans Male/Trans Man),41,Male,Asian,Hong Kong,United States,United States,Chinese,No,Full-Time
66761a507bc183e2055b0fe9,6556364a457cabc2f54b1063,AWAITING REVIEW,Not Applicable,2024-06-22T00:27:34.935000Z,2024-06-22T00:43:15.758000Z,,2024-06-22T00:43:16.307127Z,941,CHL7WI6D,502,2019,2,Mixed,Yes,English,Undergraduate degree (BA/BSc/other),Woman (including Trans Female/Trans Woman),35,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Part-Time
